Provinsi,Kabupaten/Kota,Kecamatan,Name with Street,Original Name,Street Detail,Full Address Info,Latitude,Longitude
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"BNI FATMAWATI - Jl. RS. Fatmawati Raya No.115 4, RT.4/RW.4",BNI FATMAWATI,"Jl. RS. Fatmawati Raya No.115 4, RT.4/RW.4","3,8 (122) Bank Bank ·   · Jalan RS. Fatmawati Blok D III No.115, Jl. RS. Fatmawati Raya No.115 4, RT.4/RW.4 Tutup ⋅ Buka Sen pukul 08.00 · (021) 7500339",-6.299397,106.7943761
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,ATM BNI SUPERINDO CIRENDEU - Jl. Raya Cirendeu No.20,ATM BNI SUPERINDO CIRENDEU,Jl. Raya Cirendeu No.20,"3,8 (4) ATM ATM · Jl. Raya Cirendeu No.20 Buka ⋅ Tutup pukul 21.00 · (021) 57899999",-6.3179195,106.7683778
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI KK CIPETE - Jl. Fatmawati, RT.1/RW.5",ATM BNI KK CIPETE,"Jl. Fatmawati, RT.1/RW.5","5,0 (1) Bank Bank · Jl. Fatmawati, RT.1/RW.5 Buka 24 jam Buka 24 jam Buka 24 jam · (021) 57899999",-6.263477,106.798494
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI KLN PONDOK INDAH SHOPP. MALL - Jl. RS. Fatmawati Raya, RT.3/RW.10",ATM BNI KLN PONDOK INDAH SHOPP. MALL,"Jl. RS. Fatmawati Raya, RT.3/RW.10","Tidak ada ulasan Bank Bank · Jl. RS. Fatmawati Raya, RT.3/RW.10 (021) 57899999 (021) 57899999",-6.2804313,106.7961993
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI RS SETIA MITRA - Jl. RS. Fatmawati Raya Haji Butong 3 No.80 3, RT.10/RW.6",ATM BNI RS SETIA MITRA,"Jl. RS. Fatmawati Raya Haji Butong 3 No.80 3, RT.10/RW.6","Tidak ada ulasan Bank Bank · Jl. RS. Fatmawati Raya Haji Butong 3 No.80 3, RT.10/RW.6 (021) 57899999 (021) 57899999",-6.2810772,106.796081
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI GOLDEN FATMAWATI - Jl. RS. Fatmawati Raya, RT.3/RW.4",ATM BNI GOLDEN FATMAWATI,"Jl. RS. Fatmawati Raya, RT.3/RW.4","Tidak ada ulasan Bank Bank · Jl. RS. Fatmawati Raya, RT.3/RW.4 (021) 57899999 (021) 57899999",-6.2720162,106.7973759
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,BNI - RT.15/RW.10,BNI,RT.15/RW.10,"Tidak ada ulasan Bank Bank · GF , Hero Terogong , JL. Terogong Raya, Cilandak Barat , Cilandak , 12430 Jakarta Selatan , DKI Jakarta, RT.15/RW.10 (021) 78869811 (021) 78869811",-6.2827062,106.7916476
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI - Jl. RS. Fatmawati Raya, RT.3/RW.2",ATM BNI,"Jl. RS. Fatmawati Raya, RT.3/RW.2","Tidak ada ulasan ATM ATM · Duta Mas Blok B, No.39, Jl. RS. Fatmawati Raya, RT.3/RW.2 Buka 24 jam Buka 24 jam Buka 24 jam · (021) 500046",-6.264141,106.7965848
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"BNI - Jalan Taman Duta Pondok Indah, RT.4/RW.14",BNI,"Jalan Taman Duta Pondok Indah, RT.4/RW.14","5,0 (1) ATM ATM · Jalan Taman Duta Pondok Indah, RT.4/RW.14 Buka 24 jam Buka 24 jam Buka 24 jam · (021) 500046",-6.2835902,106.7814566
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,ATM BNI PUSDIKLAT KEJAGUNG - RT.6/RW.7,ATM BNI PUSDIKLAT KEJAGUNG,RT.6/RW.7,"4,7 (3) ATM ATM · JL. RM. Harsono, Pasar Minggu, Jagakarsa, RT.6/RW.7 Buka 24 jam Buka 24 jam Buka 24 jam · (021) 57899999",-6.3045027,106.8212485
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"Atm Bni Kln Ampera - Jl. Ampera Raya, RT.5/RW.6",Atm Bni Kln Ampera,"Jl. Ampera Raya, RT.5/RW.6","3,6 (14) Bank Bank · Jl. Ampera Raya, RT.5/RW.6 (021) 57899999 (021) 57899999",-6.2820739,106.8192006
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,BNI KK South Quarter - Jl. R.A. Kartini No.Kav.8 A Lt. GF,BNI KK South Quarter,Jl. R.A. Kartini No.Kav.8 A Lt. GF,"Tidak ada ulasan Bank Bank · South Quarter Tower, Jl. R.A. Kartini No.Kav.8 A Lt. GF Tutup ⋅ Buka Sen pukul 08.00 · (021) 22767664",-6.2938417,106.7843388
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,ATM BNI UNIV MUHAMMADIYAH JKT,ATM BNI UNIV MUHAMMADIYAH JKT,,"Tidak ada ulasan ATM ATM · JL. Kyai Ahmad Dahlan, Cirendeu, Ciputat, RW.2 Buka 24 jam Buka 24 jam Buka 24 jam · (021) 57899999",-6.2960874,106.7662499
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM Bank BRI Karang Tengah - Jl. Karang Tengah Raya No.42, RT.6/RW.4",ATM Bank BRI Karang Tengah,"Jl. Karang Tengah Raya No.42, RT.6/RW.4","3,6 (5) ATM ATM · 6, Jl. Karang Tengah Raya No.42, RT.6/RW.4 Buka 24 jam Buka 24 jam Buka 24 jam · (021) 14019",-6.3065967,106.7816163
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,ATM BNI - Jl. Abdul Majid Raya,ATM BNI,Jl. Abdul Majid Raya,Tidak ada ulasan ATM ATM · Jl. Abdul Majid Raya,-6.2658394,106.799317
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,ATM BNI SPBU PONDOK INDAH - RT.1/RW.16,ATM BNI SPBU PONDOK INDAH,RT.1/RW.16,"2,5 (4) Bank Bank · RT.1/RW.16 Buka 24 jam Buka 24 jam Buka 24 jam · (021) 57899999",-6.2590872,106.781976
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,ATM BNI,ATM BNI,,"4,0 (2) ATM ATM · Rengas, Ciputat Timur Buka 24 jam Buka 24 jam Buka 24 jam · (021) 57899999",-6.300507,106.759218
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,Bank BNI Cirendeu - Jl. Raya Cirendeu No.29 C - D,Bank BNI Cirendeu,Jl. Raya Cirendeu No.29 C - D,"4,2 (41) Bank Bank · Jl. Raya Cirendeu No.29 C - D Tutup ⋅ Buka Sen pukul 08.00 · (021) 7441251",-6.3105908,106.7715196
DKI Jakarta,Kota Administrasi Jakarta Selatan,Cilandak,"ATM BNI INDOMARET JL. HJ. NAWI - Jl. H. Nawi, RT.7/RW.7",ATM BNI INDOMARET JL. HJ. NAWI,"Jl. H. Nawi, RT.7/RW.7","3,0 (3) ATM ATM · Jl. H. Nawi, RT.7/RW.7 Buka 24 jam Buka 24 jam Buka 24 jam · (021) 57899999",-6.2637121,106.7954533
